-828742 ,-427568 ,-94703 ,191897 ,456415 
21179 ,-20148 ,-602 ,15418 ,2261 
-381313 ,294213 ,-5770 ,123468 ,48723 
11419 ,-48099 ,-278 ,49419 ,2589 
19555 ,-98737 ,-1205 ,111287 ,3441 
295540 ,-405529 ,-68473 ,-131873 ,224538 
3827 ,1605 ,5472 ,3751 ,7360 
10784 ,-58798 ,28888 ,-6761 ,25627 
-1676 ,-5009 ,2429 ,-3007 ,4395 
-26860 ,-48761 ,-17100 ,31840 ,41582 
-407487 ,-532723 ,-145629 ,154628 ,590802 
232819 ,-2371496 ,-342697 ,-381494 ,806593 
-993851 ,-721501 ,-254903 ,263961 ,506395 
-243422 ,-700058 ,-140525 ,-667753 ,539405 
-11625 ,-13176 ,-7259 ,-189 ,12322 
-6029 ,-28206 ,-2323 ,-14944 ,22077 
-50310 ,-66857 ,-8236 ,6696 ,36318 
-5236 ,-10050 ,184 ,2442 ,5775 
3638 ,3571 ,-7647 ,-4425 ,6621 
1887 ,-1169 ,-2690 ,-3024 ,3072 
40425 ,-62460 ,-13801 ,32860 ,16641 
-15831341 ,-21846449 ,-6921870 ,17339362 ,9748559 
26321 ,-61391 ,4148 ,10152 ,19879 
-31950 ,-56892 ,-46568 ,3897 ,64479 
2477580 ,-2559749 ,307344 ,11300 ,2956587 
192355 ,-843253 ,72687 ,74768 ,406394 
228946 ,-761172 ,-369420 ,-103069 ,429559 
284663 ,-182799 ,-14044 ,-42172 ,197264 
46833 ,-200339 ,106451 ,3137 ,216085 
208625 ,-2360413 ,-2071062 ,-305031 ,2610326 
-1233483 ,-11368 ,-295771 ,166065 ,596835 
815 ,-937 ,-5 ,609 ,91 
170672 ,-17113 ,60787 ,-86099 ,190738 
4 ,13 ,-0 ,6 ,5 
85158 ,-196672 ,-217 ,136379 ,10597 
245166 ,-246198 ,8486 ,42080 ,156072 
3328 ,38795 ,17436 ,-21168 ,28048 
1948 ,-20746 ,13369 ,3192 ,11596 
-4816 ,6200 ,3556 ,4480 ,9068 
-5466 ,-56211 ,6151 ,22207 ,25490 
252243 ,-546332 ,302120 ,82765 ,625490 
424810 ,-987522 ,35151 ,-155984 ,321245 
-410215 ,-222868 ,-21071 ,-100509 ,280943 
-131433 ,-1182892 ,-235025 ,3156669 ,1677967 
-37660 ,-574 ,-10257 ,22828 ,27717 
2524 ,-10860 ,3315 ,14923 ,22915 
-43685 ,-8524 ,-21369 ,8258 ,36862 
-2197 ,13444 ,-2531 ,-508 ,8454 
11105 ,8072 ,-18652 ,-1748 ,10204 
498 ,1211 ,240 ,-1278 ,952 
10201 ,-1426 ,-4393 ,9966 ,8255 
-3729068 ,-1739222 ,-5007772 ,4860511 ,13388380 
2996 ,-12270 ,3799 ,4730 ,4501 
-6745 ,15718 ,-4491 ,-693 ,17453 
-187674 ,-1489137 ,49889 ,2222569 ,1213589 
96220 ,-1490636 ,-102952 ,653001 ,521410 
-13992 ,-1065609 ,121713 ,196323 ,361984 
59574 ,-68064 ,18016 ,66768 ,39534 
29656 ,-257956 ,225984 ,35627 ,38300 
72282 ,-637113 ,351695 ,157963 ,561379 
